   3.9512000000000000        3.9512000000000000        3.9512000000000000        3.9512000000000000        0.0000000000000000        0.0000000000000000     
   7.9348999999999998        7.9348999999999998        7.9348999999999998        7.9348999999999998        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   169.09545585296937        151.26280736944830        165.64487854543330        182.26225829447793       -14.382071175985004        16.617379749044630     
   2021.7637188484616        2018.9355491677672        2023.3181409503875        2028.6523997182771       -4.3825917826202385        5.3342587678896507     
  0.12841336749252436        9.8403124177879192E-002  0.13031341341562733       0.16526132821843964       -3.1910289237748135E-002   3.4947914802812313E-002
   52.497970147657973        50.691501607841509        51.925697640015052        53.167757322437978       -1.2341960321735428        1.2420596824229264     
  -104.86898917931835       -111.84435365870787       -100.74321142617694       -85.929304525462058       -11.101142232530933        14.813906900714883     
   54.818959777796863        53.909515482801503        55.163333040406755        56.394775031057691       -1.2538175576052524        1.2314419906509357     
   4.6426117694033158        4.5941631832961631        5.4180073766009542        6.4144357955235387      -0.82384419330479108       0.99642841892258449     
   6.7514207467430563        6.2197341661066599        7.4860052837468309        9.2018237268945064       -1.2662711176401711        1.7158184431476755     
 ====== ****** ======
   3.9512  & $   3.9512^{\phantom{-}0.0000}_{ 0.0000}$  \\
   7.9349  & $   7.9349^{\phantom{-}0.0000}_{ 0.0000}$  \\
   0.0000  & $   0.0000^{\phantom{-}0.0000}_{ 0.0000}$  \\
   0.0000  & $   0.0000^{\phantom{-}0.0000}_{ 0.0000}$  \\
   0.0000  & $   0.0000^{\phantom{-}0.0000}_{ 0.0000}$  \\
   0.0000  & $   0.0000^{\phantom{-}0.0000}_{ 0.0000}$  \\
   0.0000  & $   0.0000^{\phantom{-}0.0000}_{ 0.0000}$  \\
 169.0955  & $ 165.6449^{\phantom{-}******}_{*******}$  \\
2021.7637  & $2023.3181^{\phantom{-}5.3343}_{-4.3826}$  \\
   0.1284  & $   0.1303^{\phantom{-}0.0349}_{-0.0319}$  \\
  52.4980  & $  51.9257^{\phantom{-}1.2421}_{-1.2342}$  \\
-104.8690  & $-100.7432^{\phantom{-}******}_{*******}$  \\
  54.8190  & $  55.1633^{\phantom{-}1.2314}_{-1.2538}$  \\
   4.6426  & $   5.4180^{\phantom{-}0.9964}_{-0.8238}$  \\
   6.7514  & $   7.4860^{\phantom{-}1.7158}_{-1.2663}$  \\
